epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8441,4.03722,33.0491,1.50453,0.00245,0.2535,0.00158,0.00055,3.13765,4.36928,1.10513,0.00044,0.00044,0.00044
2,21.5109,3.38761,5.89428,1.12324,0.00705,0.08535,0.03546,0.00903,2.9976,3.79345,1.00075,0.00088515,0.00088515,0.00088515
3,29.0691,2.96211,4.43061,1.01709,0.34617,0.06242,0.06285,0.01803,2.97305,3.05602,1.05001,0.00131512,0.00131512,0.00131512
4,36.5982,2.93527,3.91296,1.00658,0.37964,0.12994,0.13127,0.03262,3.36409,2.44525,1.15068,0.00172991,0.00172991,0.00172991
5,44.3964,2.75258,3.49042,0.97517,0.37441,0.2879,0.20504,0.05604,3.02466,2.30083,1.10385,0.001868,0.001868,0.001868
6,52.1316,2.79863,3.23204,0.9814,0.43459,0.32102,0.28096,0.07674,2.88611,1.89959,1.07897,0.001835,0.001835,0.001835
7,59.5905,2.72056,2.82486,0.97757,0.46482,0.35924,0.31998,0.08624,2.7083,1.80162,1.00221,0.001802,0.001802,0.001802
8,68.3665,2.78064,2.73749,0.96422,0.50142,0.37325,0.35447,0.09638,2.61259,1.7574,0.98219,0.001769,0.001769,0.001769
9,76.453,2.5561,2.4123,0.94727,0.52734,0.39226,0.378,0.11061,2.58956,1.78624,0.99025,0.001736,0.001736,0.001736
10,87.0059,2.50501,2.20868,0.95532,0.4912,0.33943,0.32187,0.09431,2.47871,1.8085,0.98724,0.001703,0.001703,0.001703
11,102.624,2.57044,2.18284,0.95539,0.48207,0.40551,0.33902,0.09213,2.55807,1.623,0.99519,0.00167,0.00167,0.00167
12,117.418,2.5959,2.0071,0.96046,0.50626,0.35669,0.3377,0.0982,2.66527,1.63591,0.9895,0.001637,0.001637,0.001637
13,130.609,2.56892,2.05293,0.94309,0.51358,0.42038,0.376,0.10223,2.696,1.54819,0.9977,0.001604,0.001604,0.001604
14,146.389,2.55643,1.95757,0.93507,0.57791,0.45605,0.42586,0.12828,2.47906,1.40829,0.97457,0.001571,0.001571,0.001571
15,161.325,2.46294,1.84101,0.93265,0.54203,0.38344,0.38173,0.11832,2.45342,1.60578,0.96824,0.001538,0.001538,0.001538
16,174.113,2.46367,1.78016,0.94355,0.6136,0.49172,0.4767,0.15614,2.28013,1.42314,0.96059,0.001505,0.001505,0.001505
17,188.177,2.43442,1.73924,0.93333,0.59708,0.46061,0.45243,0.1492,2.30519,1.45172,0.96369,0.001472,0.001472,0.001472
18,204.209,2.49846,1.64949,0.93499,0.62528,0.45478,0.47985,0.15809,2.34871,1.41774,0.9608,0.001439,0.001439,0.001439
19,218.631,2.39541,1.6135,0.92941,0.50331,0.43949,0.40258,0.11855,2.44053,1.57693,0.96056,0.001406,0.001406,0.001406
20,232.61,2.49743,1.68675,0.92508,0.58669,0.46292,0.47032,0.15808,2.21277,1.41589,0.9502,0.001373,0.001373,0.001373
21,248.26,2.28789,1.50521,0.92572,0.67381,0.45732,0.49891,0.16169,2.30681,1.38648,0.95169,0.00134,0.00134,0.00134
22,256.384,2.3159,1.54132,0.92206,0.64321,0.46497,0.48159,0.1506,2.26755,1.39574,0.94608,0.001307,0.001307,0.001307
23,264.147,2.38678,1.56919,0.91027,0.62561,0.4598,0.47219,0.13875,2.30642,1.4517,0.94324,0.001274,0.001274,0.001274
24,271.692,2.30273,1.50117,0.93012,0.59727,0.46369,0.48602,0.15573,2.31002,1.37948,0.94224,0.001241,0.001241,0.001241
25,279.043,2.29331,1.44139,0.91625,0.58558,0.47771,0.48429,0.15916,2.32692,1.3681,0.94022,0.001208,0.001208,0.001208
26,286.42,2.41278,1.52947,0.91344,0.62023,0.47516,0.49335,0.15656,2.33263,1.35752,0.94842,0.001175,0.001175,0.001175
27,293.739,2.34935,1.49775,0.9247,0.61877,0.5045,0.49459,0.15254,2.31685,1.3439,0.9818,0.001142,0.001142,0.001142
28,302.157,2.29637,1.49106,0.91374,0.64514,0.50256,0.52135,0.17398,2.24418,1.34123,0.95267,0.001109,0.001109,0.001109
