epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51761,4.42005,39.1348,1.70306,0.00061,0.04204,0.00032,0.0001,3.47741,4.59245,1.19374,0.00044,0.00044,0.00044
2,16.5342,3.34143,6.38758,1.1151,0.00284,0.42038,0.00232,0.0007,3.0625,3.92134,1.04694,0.00088218,0.00088218,0.00088218
3,23.151,3.1998,4.83644,1.03214,0.28249,0.05016,0.08787,0.02061,2.90402,2.86743,1.02156,0.00130614,0.00130614,0.00130614
4,29.7468,2.92903,4.05377,1.00035,0.35585,0.23439,0.17629,0.0445,2.84179,2.37378,1.03441,0.00171189,0.00171189,0.00171189
5,36.3206,2.81897,3.59737,0.98182,0.42,0.28408,0.24471,0.06645,2.77138,2.02239,1.02381,0.0018416,0.0018416,0.0018416
6,43.8036,2.72655,3.10376,0.98443,0.41539,0.35287,0.28264,0.0779,2.69035,1.76828,1.00725,0.001802,0.001802,0.001802
7,50.6934,2.65999,2.79063,0.95732,0.40497,0.30955,0.24272,0.06566,2.87039,1.82395,1.08788,0.0017624,0.0017624,0.0017624
8,57.3546,2.64117,2.64353,0.97239,0.44472,0.32357,0.26878,0.06997,3.10536,1.74515,1.07738,0.0017228,0.0017228,0.0017228
9,63.9586,2.5364,2.35777,0.95582,0.56782,0.44076,0.41667,0.12376,2.43029,1.62207,0.9692,0.0016832,0.0016832,0.0016832
10,70.9769,2.49285,2.15935,0.95895,0.44882,0.41401,0.32095,0.09162,2.53904,1.702,0.985,0.0016436,0.0016436,0.0016436
11,77.569,2.57613,2.24616,0.9451,0.50064,0.39719,0.37159,0.1179,2.58365,1.58873,0.98704,0.001604,0.001604,0.001604
12,84.2507,2.53656,2.05355,0.95947,0.50657,0.41146,0.3891,0.12316,2.42204,1.5911,0.97767,0.0015644,0.0015644,0.0015644
13,90.8492,2.52623,1.95042,0.95367,0.58235,0.40127,0.3978,0.1177,2.50817,1.58473,0.99105,0.0015248,0.0015248,0.0015248
14,97.3491,2.58686,1.98178,0.93864,0.53715,0.41986,0.38567,0.12362,2.48553,1.44849,0.99315,0.0014852,0.0014852,0.0014852
